% Model,hl2.mph
% Version,COMSOL 6.1.0.357
% Date,"Nov 13 2023, 18:16"
% Table,d3_m - 
% m,d1 (m),freq (Hz),"Total acoustic pressure (Pa), Pressure","Total acoustic velocity, z-component (m^3/s), Velocity"
0,0.03,10,1100,-1.0657839459046507E-5-1.9515077240854457E-4i
0,0.03,20,1100,-1.5086468314358368E-5-3.8996698681602836E-4i
0,0.03,30,1100,-1.910206807897734E-5-5.947499061773562E-4i
0,0.03,40,1100,-2.3356026771719242E-5-8.165992868605418E-4i
0,0.03,50,1100,-2.830937731657124E-5-0.0010641829432853998i
0,0.03,60,1100,-3.4491399135968206E-5-0.0013491837514140906i
0,0.03,70,1100,-4.2674365523804724E-5-0.0016884738188922064i
0,0.03,80,1100,-5.4147170981998615E-5-0.002108032046855171i
0,0.03,90,1100,-7.12956454877563E-5-0.002650726675872812i
0,0.03,100,1100,-9.904613623571459E-5-0.003393440482103864i
0,0.03,110,1100,-1.4909618333689903E-4-0.0044900223648432986i
0,0.03,120,1100,-2.5544337336174425E-4-0.006300850710503427i
0,0.03,130,1100,-5.561304024729428E-4-0.009915435761001927i
0,0.03,140,1100,-0.002193975605290268-0.020855154604662616i
0,0.03,150,1100,-0.19180649053458135+0.07983692850693752i
0,0.03,160,1100,-0.0017149674684842897+0.02068656135006714i
0,0.03,170,1100,-4.2615222752236917E-4+0.010898900014322376i
0,0.03,180,1100,-1.8264263971479378E-4+0.007509448648897221i
0,0.03,190,1100,-9.829417533644387E-5+0.005786171158791592i
0,0.03,200,1100,-5.9969975353868195E-5+0.004739613134866199i
0,0.03,210,1100,-3.961026799530817E-5+0.004034422073602786i
0,0.03,220,1100,-2.763086980860548E-5+0.0035255518415823685i
0,0.03,230,1100,-2.0055529526927457E-5+0.003140039306596099i
0,0.03,240,1100,-1.5001414809524275E-5+0.002837166931956345i
0,0.03,250,1100,-1.148688499396118E-5+0.0025924149880966843i
0,0.03,260,1100,-8.961161204298895E-6+0.002390130414167428i
0,0.03,270,1100,-7.096781318692536E-6+0.002219847330043813i
0,0.03,280,1100,-5.689702596272203E-6+0.002074299825132879i
0,0.03,290,1100,-4.607756475686541E-6+0.0019482836085642295i
0,0.03,300,1100,-3.762492487300285E-6+0.0018379715685836009i
0,0.03,310,1100,-3.093048158466266E-6+0.001740485212688059i
0,0.03,320,1100,-2.5565272801554092E-6+0.001653616906424561i
0,0.03,330,1100,-2.1220575246187004E-6+0.0015756444170131085i
0,0.03,340,1100,-1.7670078831224592E-6+0.0015052038394229729i
0,0.03,350,1100,-1.4745162420366698E-6+0.0014412005211581931i
0,0.03,360,1100,-1.2318349691415707E-6+0.0013827453504913138i
0,0.03,370,1100,-1.0292004920025973E-6+0.0013291083578782664i
0,0.03,380,1100,-8.590462972822688E-7+0.0012796843746018377i
0,0.03,390,1100,-7.154456815879981E-7+0.001233967241088148i
0,0.03,400,1100,-5.937110907920083E-7+0.0011915301774592542i
0,0.03,410,1100,-4.901019992947174E-7+0.0011520106619611868i
0,0.03,420,1100,-4.0160919129147773E-7+0.0011150986520515212i
0,0.03,430,1100,-3.257935855988422E-7+0.0010805273151288887i
0,0.03,440,1100,-2.60664507279475E-7+0.001048065665167481i
0,0.03,450,1100,-2.0458683104131726E-7+0.0010175126621389291i
0,0.03,460,1100,-1.5620949152617906E-7+9.886924451764135E-4i
0,0.03,470,1100,-1.144099696476254E-7+9.614504524822742E-4i
0,0.03,480,1100,-7.82508389705994E-8+9.356502406951803E-4i
0,0.03,490,1100,-4.694549755390256E-8+9.111708603695011E-4i
0,0.03,500,1100,-1.9830954446387894E-8+8.879046768819657E-4i
0,0.03,510,1100,3.653923136727697E-9+8.657555505947156E-4i
0,0.03,520,1100,2.3985904623448516E-8+8.446373086663937E-4i
0,0.03,530,1100,4.157154759515238E-8+8.244724550810206E-4i
0,0.03,540,1100,5.675870705114003E-8+8.051910763758644E-4i
0,0.03,550,1100,6.984594348403942E-8+7.867299090135215E-4i
0,0.03,560,1100,8.109025025168415E-8+7.690315409527446E-4i
0,0.03,570,1100,9.071342903170047E-8+7.520437251687094E-4i
0,0.03,580,1100,9.89073720286915E-8+7.357187869855659E-4i
0,0.03,590,1100,1.0583845557135711E-7+7.200131103549262E-4i
0,0.03,600,1100,1.1165120786039851E-7+7.048866908335299E-4i
0,0.03,610,1100,1.1647138095389224E-7+6.903027451185881E-4i
0,0.03,620,1100,1.2040853145619167E-7+6.762273687034429E-4i
0,0.03,630,1100,1.2355819413708327E-7+6.626292345980654E-4i
0,0.03,640,1100,1.2600371667485388E-7+6.494793271871547E-4i
0,0.03,650,1100,1.2781781087828675E-7+6.367507062210465E-4i
0,0.03,660,1100,1.2906386548114008E-7+6.244182966922711E-4i
0,0.03,670,1100,1.2979705727222924E-7+6.124587009739401E-4i
0,0.03,680,1100,1.300652905705096E-7+6.008500301092523E-4i
0,0.03,690,1100,1.2990998950887684E-7+5.895717515650996E-4i
0,0.03,700,1100,1.293667629932631E-7+5.786045511102637E-4i
0,0.03,710,1100,1.284659583676869E-7+5.679302067635706E-4i
0,0.03,720,1100,1.2723311653993716E-7+5.5753147298894E-4i
0,0.03,730,1100,1.2568933847507764E-7+5.473919734987486E-4i
0,0.03,740,1100,1.2385157046728194E-7+5.374961011703699E-4i
0,0.03,750,1100,1.217328132564358E-7+5.278289236878244E-4i
0,0.03,760,1100,1.193422578797947E-7+5.183760935911749E-4i
0,0.03,770,1100,1.1668534893228114E-7+5.091237614540111E-4i
0,0.03,780,1100,1.1376377364557332E-7+5.000584909122433E-4i
0,0.03,790,1100,1.1057537271542127E-7+4.911671742332546E-4i
0,0.03,800,1100,1.0711396595848285E-7+4.824369470397197E-4i
0,0.03,810,1100,1.0336908259197328E-7+4.7385510068116373E-4i
0,0.03,820,1100,9.932558186934208E-8+4.6540899056934026E-4i
0,0.03,830,1100,9.4963144760693E-8+4.570859385479465E-4i
0,0.03,840,1100,9.025561105599292E-8+4.488731270377434E-4i
0,0.03,850,1100,8.517012784758287E-8+4.4075748225866113E-4i
0,0.03,860,1100,7.966606472947352E-8+4.327255432523408E-4i
0,0.03,870,1100,7.369363652095901E-8+4.247633126645197E-4i
0,0.03,880,1100,6.71921551493138E-8+4.1685608423890205E-4i
0,0.03,890,1100,6.008780611321274E-8+4.089882406370755E-4i
0,0.03,900,1100,5.229080913224513E-8+4.0114301341468735E-4i
0,0.03,910,1100,4.369177276611458E-8+3.933021945852214E-4i
0,0.03,920,1100,3.41569829650441E-8+3.854457859504263E-4i
0,0.03,930,1100,2.352226639556841E-8+3.7755156792136245E-4i
0,0.03,940,1100,1.1584926557754851E-8+3.6959456338905427E-4i
0,0.03,950,1100,-1.906957284106961E-9+3.6154636356573104E-4i
0,0.03,960,1100,-1.7268886551306356E-8+3.533742704630775E-4i
0,0.03,970,1100,-3.489943674148782E-8+3.4504019303473557E-4i
0,0.03,980,1100,-5.5307078566496415E-8+3.364992082330757E-4i
