% Model,hl2.mph
% Version,COMSOL 6.1.0.357
% Date,"Nov 13 2023, 18:26"
% Table,d8_m - 
% m,d1 (m),freq (Hz),"Total acoustic pressure (Pa), Pressure","Total acoustic velocity, z-component (m^3/s), Velocity"
0,0.08,910,2700,-1.1107642002665665E-6+0.0012802516760524471i
0,0.08,920,2700,-1.1634711745417589E-6+0.0012333273811451903i
0,0.08,930,2700,-1.2219546109020878E-6+0.0011863883088134217i
0,0.08,940,2700,-1.2867354046129293E-6+0.0011393292283397413i
0,0.08,950,2700,-1.3584307417534974E-6+0.0010920388140853296i
0,0.08,960,2700,-1.4377705490865977E-6+0.001044398215359024i
0,0.08,970,2700,-1.5256178948561127E-6+9.962793981706751E-4i
0,0.08,980,2700,-1.622994374851832E-6+9.475432015280263E-4i
0,0.08,990,2700,-1.7311118447705681E-6+8.980370359057271E-4i
0,0.08,1000,2700,-1.851412303385998E-6+8.47592131631544E-4i
0,0.08,1010,2700,-1.9856183391924732E-6+7.960202184487219E-4i
0,0.08,1020,2700,-2.1357973961212683E-6+7.431094819420989E-4i
0,0.08,1030,2700,-2.3044442956226405E-6+6.886195942557771E-4i
0,0.08,1040,2700,-2.494588128929634E-6+6.32275550429282E-4i
0,0.08,1050,2700,-2.7099320427245E-6+5.737599500718475E-4i
0,0.08,1060,2700,-2.95503795214778E-6+5.127032356242567E-4i
0,0.08,1070,2700,-3.2355734072267526E-6+4.48671215868165E-4i
0,0.08,1080,2700,-3.5586456423495704E-6+3.81148940094536E-4i
0,0.08,1090,2700,-3.933259773692329E-6+3.0951960282941363E-4i
0,0.08,1100,2700,-4.370956716033155E-6+2.3303658472373817E-4i
0,0.08,1110,2700,-4.886716009768306E-6+1.5078586353869814E-4i
0,0.08,1120,2700,-5.500256996941532E-6+6.163467860661815E-5i
0,0.08,1130,2700,-6.237952404395349E-6-3.5839808627340896E-5i
0,0.08,1140,2700,-7.135706970529193E-6-1.4345159572334102E-4i
0,0.08,1150,2700,-8.24339963305304E-6-2.6355222068272216E-4i
0,0.08,1160,2700,-9.631939948114444E-6-3.9924805382317687E-4i
0,0.08,1170,2700,-1.1404855397764888E-5-5.547321085948537E-4i
0,0.08,1180,2700,-1.3718064130903524E-5-7.358075779723937E-4i
0,0.08,1190,2700,-1.6815169751647093E-5-9.50746123887695E-4i
0,0.08,1200,2700,-2.1093930443793297E-5-0.0012117604197501729i
0,0.08,1210,2700,-2.723982682112523E-5-0.0015376732334330785i
0,0.08,1220,2700,-3.651691046312458E-5-0.0019590948709969623i
0,0.08,1230,2700,-5.1469391698045484E-5-0.002529369263448178i
0,0.08,1240,2700,-7.785972670382114E-5-0.0033504942252471875i
0,0.08,1250,2700,-1.3114157659547892E-4-0.004644955074795213i
0,0.08,1260,2700,-2.6535920380039323E-4-0.007007943692320813i
0,0.08,1270,2700,-7.91149097802951E-4-0.012745679255653893i
0,0.08,1280,2700,-0.010092427762615692-0.04676985747918856i
0,0.08,1290,2700,-0.0038954425369416555+0.03079028720503217i
0,0.08,1300,2700,-5.830877111439824E-4+0.01246985932428542i
0,0.08,1310,2700,-2.2487856415820181E-4+0.00802559343798604i
0,0.08,1320,2700,-1.1877402334775041E-4+0.006020191466677379i
0,0.08,1330,2700,-7.356459310308709E-5+0.004873582383172458i
0,0.08,1340,2700,-5.019137871851984E-5+0.004127979664499364i
0,0.08,1350,2700,-3.6552739791592316E-5+0.003601842673011233i
0,0.08,1360,2700,-2.7904823899851788E-5+0.0032088358912570037i
0,0.08,1370,2700,-2.2078784382848303E-5+0.002902654393906968i
0,0.08,1380,2700,-1.7968528153552195E-5+0.0026562319129226366i
0,0.08,1390,2700,-1.4961771911950012E-5+0.002452687842957055i
0,0.08,1400,2700,-1.2697222908440023E-5+0.0022809462193426533i
0,0.08,1410,2700,-1.0950479211917757E-5+0.00213343663718954i
0,0.08,1420,2700,-9.57617581954156E-6+0.0020048075770853473i
0,0.08,1430,2700,-8.476779485522715E-6+0.0018911675842147072i
0,0.08,1440,2700,-7.584871604811523E-6+0.0017896178226745403i
0,0.08,1450,2700,-6.852644260966743E-6+0.001697953316751888i
0,0.08,1460,2700,-6.245437856043355E-6+0.0016144658783523761i
0,0.08,1470,2700,-5.737635777799555E-6+0.0015378104985118834i
0,0.08,1480,2700,-5.309982342044887E-6+0.0014669125618216147i
0,0.08,1490,2700,-4.947786803947407E-6+0.0014009020244417677i
0,0.08,1500,2700,-4.639694107008396E-6+0.001339065823205737i
0,0.08,1510,2700,-4.3768269705777345E-6+0.0012808128705972838i
0,0.08,1520,2700,-4.152176622628414E-6+0.0012256479014063507i
0,0.08,1530,2700,-3.960163329113335E-6+0.001173151649296371i
0,0.08,1540,2700,-3.796314981101572E-6+0.001122965617952269i
0,0.08,1550,2700,-3.6570291426943006E-6+0.0010747802318931369i
0,0.08,1560,2700,-3.539395029654223E-6+0.0010283255026927382i
0,0.08,1570,2700,-3.4410591695234888E-6+9.833635865148446E-4i
0,0.08,1580,2700,-3.3601233707197486E-6+9.396827757867766E-4i
0,0.08,1590,2700,-3.2950669488473213E-6+8.970925853530378E-4i
0,0.08,1600,2700,-3.2446874594556724E-6+8.554196771126567E-4i
0,0.08,1610,2700,-3.2080558037336505E-6+8.145044272258429E-4i
0,0.08,1620,2700,-3.184482737272168E-6+7.741979833648916E-4i
0,0.08,1630,2700,-3.173494661830243E-6+7.343596908427343E-4i
0,0.08,1640,2700,-3.1748172218308146E-6+6.94854788961203E-4i
0,0.08,1650,2700,-3.1883657270921806E-6+6.555522947366032E-4i
0,0.08,1660,2700,-3.2142418330601034E-6+6.163230017415281E-4i
0,0.08,1670,2700,-3.252736271316959E-6+5.770375280727488E-4i
0,0.08,1680,2700,-3.3043377592688797E-6+5.375643499644346E-4i
0,0.08,1690,2700,-3.3697485695686806E-6+4.977677565006701E-4i
0,0.08,1700,2700,-3.4499076282186653E-6+4.57505656146847E-4i
0,0.08,1710,2700,-3.546022475474842E-6+4.166271569845715E-4i
0,0.08,1720,2700,-3.6596120090183572E-6+3.749698287870592E-4i
0,0.08,1730,2700,-3.792562694554489E-6+3.3235653512927635E-4i
0,0.08,1740,2700,-3.947201961686675E-6+2.8859169563050057E-4i
0,0.08,1750,2700,-4.126393923665791E-6+2.434567993024371E-4i
0,0.08,1760,2700,-4.333664556054272E-6+1.967049355638418E-4i
0,0.08,1770,2700,-4.573366315808521E-6+1.4805403348723594E-4i
0,0.08,1780,2700,-4.850896308735449E-6+9.717839284908888E-5i
0,0.08,1790,2700,-5.17298819417984E-6+4.369793828927999E-5i
0,0.08,1800,2700,-5.54810711759532E-6-1.283559159408069E-5i
0,0.08,1810,2700,-5.986990841532054E-6-7.2956629407333E-5i
0,0.08,1820,2700,-6.503401807783269E-6-1.3730952486622425E-4i
0,0.08,1830,2700,-7.115189066399236E-6-2.0668036056996459E-4i
0,0.08,1840,2700,-7.845814513540938E-6-2.820402631621012E-4i
0,0.08,1850,2700,-8.726590242228485E-6-3.64605399025213E-4i
0,0.08,1860,2700,-9.800031852884064E-6-4.559216999631187E-4i
0,0.08,1870,2700,-1.1125011566351542E-5-5.579871208581141E-4i
0,0.08,1880,2700,-1.2784905109248979E-5-6.734324045085234E-4i
0,0.08,1890,2700,-1.4900897051067239E-5-8.057958817861602E-4i
0,0.08,1900,2700,-1.7654542878588462E-5-9.59954825539683E-4i
0,0.08,1910,2700,-2.1327747547072022E-5-0.0011428283518674061i
0,0.08,1920,2700,-2.6377399559387795E-5-0.0013645746882218366i
0,0.08,1930,2700,-3.358376328961118E-5-0.001640742270455861i
0,0.08,1940,2700,-4.436937216914963E-5-0.001996396696986113i
0,0.08,1950,2700,-6.15553267677465E-5-0.0024747226933935842i
0,0.08,1960,2700,-9.140339280980856E-5-0.003157006842822053i
0,0.08,1970,2700,-1.5021639144671082E-4-0.004216514265335701i
0,0.08,1980,2700,-2.922984793113299E-4-0.00609957583311763i
0,0.08,1990,2700,-7.998465020078773E-4-0.010408477610051432i
0,0.08,2000,2700,-0.006540760171645116-0.030031284330321786i
0,0.08,2010,2700,-0.007776081302350263+0.033492449459932336i
0,0.08,2020,2700,-8.564328236940122E-4+0.011637243851038273i
0,0.08,2030,2700,-3.0760122332805495E-4+0.00712212843087961i
0,0.08,2040,2700,-1.5747209310013925E-4+0.005181535634005651i
0,0.08,2050,2700,-9.589163119336282E-5+0.004098321062449019i
0,0.08,2060,2700,-6.477009185151082E-5+0.003404085322212848i
0,0.08,2070,2700,-4.688609748487335E-5+0.002918952189861529i
0,0.08,2080,2700,-3.5671747461207395E-5+0.0025590993883971556i
0,0.08,2090,2700,-2.818082017663273E-5+0.0022802004918510083i
0,0.08,2100,2700,-2.2931767449883413E-5+0.0020566140335426734i
0,0.08,2110,2700,-1.9113372034146764E-5+0.0018724752363461275i
0,0.08,2120,2700,-1.6251130747554785E-5+0.0017174400286886291i
0,0.08,2130,2700,-1.4052448808388722E-5+0.0015844739421494714i
0,0.08,2140,2700,-1.2328940164040877E-5+0.0014686246706584326i
0,0.08,2150,2700,-1.0954869357604702E-5+0.001366303002539048i
0,0.08,2160,2700,-9.843723617125484E-6+0.0012748423334222154i
0,0.08,2170,2700,-8.934407697068789E-6+0.001192218467761465i
0,0.08,2180,2700,-8.182795533210622E-6+0.0011168655341982378i
0,0.08,2190,2700,-7.5563883794828025E-6+0.0010475516117115793i
0,0.08,2200,2700,-7.030839469283463E-6+9.832926084375315E-4i
0,0.08,2210,2700,-6.587635579438738E-6+9.232913141102137E-4i
0,0.08,2220,2700,-6.212515638435073E-6+8.668934160233918E-4i
0,0.08,2230,2700,-5.8943705426710796E-6+8.135551882268883E-4i
0,0.08,2240,2700,-5.624464126788906E-6+7.628193642117161E-4i
0,0.08,2250,2700,-5.395872772502809E-6+7.142968416384286E-4i
0,0.08,2260,2700,-5.203076570529046E-6+6.676526034757855E-4i
0,0.08,2270,2700,-5.041657260898677E-6+6.2259472504666E-4i
0,0.08,2280,2700,-4.90807252011013E-6+5.788656619247895E-4i
0,0.08,2290,2700,-4.79948552432036E-6+5.362352351313035E-4i
0,0.08,2300,2700,-4.713634909720482E-6+4.944948824338696E-4i
0,0.08,2310,2700,-4.648734350228383E-6+4.5345284971665535E-4i
0,0.08,2320,2700,-4.603393623016428E-6+4.129300681939035E-4i
0,0.08,2330,2700,-4.576554582450161E-6+3.7275650999820347E-4i
0,0.08,2340,2700,-4.5674360255476875E-6+3.327678404107289E-4i
0,0.08,2350,2700,-4.575480836329658E-6+2.9280218936747254E-4i
0,0.08,2360,2700,-4.600296452758829E-6+2.526968411700527E-4i
0,0.08,2370,2700,-4.641574132634262E-6+2.1228457045555533E-4i
0,0.08,2380,2700,-4.6989602130560895E-6+1.7138918646044334E-4i
0,0.08,2390,2700,-4.771824928317786E-6+1.2981946236671437E-4i
0,0.08,2400,2700,-4.858808460987041E-6+8.735967442036821E-5i
0,0.08,2410,2700,-4.956852851595558E-6+4.3752364129601644E-5i
0,0.08,2420,2700,-5.058932599070769E-6-1.3393306498122095E-6i
0,0.08,2430,2700,-5.14804797956166E-6-4.843436876055554E-5i
0,0.08,2440,2700,-5.1787217643152596E-6-9.861251768888319E-5i
0,0.08,2450,2700,-5.022775185939859E-6-1.5586381739286185E-4i
0,0.08,2460,2700,-2.761122386027845E-5-3.2609057769340273E-4i
0,0.08,2470,2700,-1.0312638854545722E-5-2.2255792372841032E-4i
0,0.08,2480,2700,-8.782541279404195E-6-2.919832451774595E-4i
0,0.08,2490,2700,-8.834430984282958E-6-3.568815069613276E-4i
0,0.08,2500,2700,-9.259913768697097E-6-4.2434725137168057E-4i
0,0.08,2510,2700,-9.902990212746297E-6-4.96345989961847E-4i
0,0.08,2520,2700,-1.0741106935601393E-5-5.742510173915541E-4i
0,0.08,2530,2700,-1.1792775393291158E-5-6.594740730347015E-4i
0,0.08,2540,2700,-1.310114394639216E-5-7.536868391357714E-4i
0,0.08,2550,2700,-1.473404010047008E-5-8.58988724964301E-4i
0,0.08,2560,2700,-1.6791545086490304E-5-9.78106752086977E-4i
0,0.08,2570,2700,-1.9421115731024898E-5-0.0011146799146957633i
0,0.08,2580,2700,-2.2844324174517247E-5-0.0012736952696905683i
0,0.08,2590,2700,-2.740455653773168E-5-0.0014621905740462389i
0,0.08,2600,2700,-3.365573357450329E-5-0.0016904410874587507i
0,0.08,2610,2700,-4.253731468855158E-5-0.0019740737481870356i
0,0.08,2620,2700,-5.574626086148176E-5-0.002338082743206655i
0,0.08,2630,2700,-7.660646462342195E-5-0.0028250936873670694i
0,0.08,2640,2700,-1.1237063578318499E-4-0.0035142395113203144i
0,0.08,2650,2700,-1.8145399602695111E-4-0.004570846360331005i
0,0.08,2660,2700,-3.4274533185282645E-4-0.00640730923831251i
0,0.08,2670,2700,-8.78403642752475E-4-0.01041487542557691i
0,0.08,2680,2700,-0.005427394698041308-0.025792584775289198i
0,0.08,2690,2700,-0.01756308412675414+0.04463455056309273i
0,0.08,2700,2700,-0.0013344332834357025+0.013271117598649863i
0,0.08,2710,2700,-4.453181493008989E-4+0.007739051668176262i
0,0.08,2720,2700,-2.2119709876719824E-4+0.005477256933663019i
0,0.08,2730,2700,-1.3258882989787291E-4+0.004244898497831861i
0,0.08,2740,2700,-8.874425312450842E-5+0.0034665646536944732i
0,0.08,2750,2700,-6.38933041265304E-5+0.002928129085360095i
0,0.08,2760,2700,-4.846087123012647E-5+0.002531751568326588i
0,0.08,2770,2700,-3.8227055106804806E-5+0.0022263893120054606i
0,0.08,2780,2700,-3.1096901463150195E-5+0.0019828077624383664i
0,0.08,2790,2700,-2.5934491527091428E-5+0.0017830561874521993i
0,0.08,2800,2700,-2.2080508695856318E-5+0.0016155005079404225i
0,0.08,2810,2700,-1.913094398877152E-5+0.0014722671653316867i
0,0.08,2820,2700,-1.682704274614905E-5+0.001347834959915281i
0,0.08,2830,2700,-1.4996884542312616E-5+0.0012382152778523522i
0,0.08,2840,2700,-1.3522656927545661E-5+0.001140452538437982i
0,0.08,2850,2700,-1.2321474846089843E-5+0.0010523078221693636i
0,0.08,2860,2700,-1.1333697811891927E-5+9.720517929043838E-4i
0,0.08,2870,2700,-1.0515574050913902E-5+8.983252227629885E-4i
0,0.08,2880,2700,-9.834473786788772E-6+8.300426557517832E-4i
0,0.08,2890,2700,-9.265721834982608E-6+7.663243568199317E-4i
0,0.08,2900,2700,-8.79044640334536E-6+7.064472529552073E-4i
0,0.08,2910,2700,-8.394090277258133E-6+6.498088934777392E-4i
0,0.08,2920,2700,-8.065364039805813E-6+5.959004962562122E-4i
0,0.08,2930,2700,-7.795500954429839E-6+5.442864305759828E-4i
0,0.08,2940,2700,-7.5777223846372705E-6+4.945883131452247E-4i
0,0.08,2950,2700,-7.406853735077997E-6+4.464724341972303E-4i
0,0.08,2960,2700,-7.279051101508856E-6+3.996395888631408E-4i
0,0.08,2970,2700,-7.191612370023051E-6+3.538166274415882E-4i
0,0.08,2980,2700,-7.142855986344866E-6+3.087491951535495E-4i
0,0.08,2990,2700,-7.132057734707257E-6+2.641952305650343E-4i
0,0.08,3000,2700,-7.159441749337933E-6+2.199188452419509E-4i
0,0.08,3010,2700,-7.2262275939012625E-6+1.7568422103609335E-4i
0,0.08,3020,2700,-7.334741545310508E-6+1.312491347761105E-4i
0,0.08,3030,2700,-7.488608348751802E-6+8.635764465135422E-5i
0,0.08,3040,2700,-7.69305147819958E-6+4.07313294624624E-5i
