% Model,hl2.mph
% Version,COMSOL 6.1.0.357
% Date,"Nov 12 2023, 14:04"
% Table,d1sweep - 
% d1 (cm),freq (Hz),"Total acoustic pressure (Pa), Pressure","Total acoustic velocity, z-component (m^3/s), Velocity"
1,960,500.00000000000006,5.409558585798257E-8+7.282207857122033E-5i
1,970,500.00000000000006,5.332191126513935E-8+7.186407143720767E-5i
1,980,500.00000000000006,5.252853439189368E-8+7.090675982061973E-5i
1,990,500.00000000000006,5.169307977119983E-8+6.994658620386355E-5i
1,1000,500.00000000000006,5.078302177614084E-8+6.897917575232471E-5i
1,1010,500.00000000000006,4.97502771598494E-8+6.799902548963038E-5i
1,1020,500.00000000000006,4.8522354540628106E-8+6.699904516218627E-5i
1,1030,500.00000000000006,4.6987406754989106E-8+6.596985968290463E-5i
1,1040,500.00000000000006,4.496804624148363E-8+6.489871456958333E-5i
1,1050,500.00000000000006,4.2173460169865705E-8+6.376769263648457E-5i
1,1060,500.00000000000006,3.810723162254289E-8+6.255067651380367E-5i
1,1070,500.00000000000006,3.187850387618368E-8+6.120789070456922E-5i
1,1080,500.00000000000006,2.1784153770475205E-8+5.967542773701426E-5i
1,1090,500.00000000000006,4.289080922910305E-9+5.784340768343839E-5i
1,1100,500.00000000000006,-2.8806034869669973E-8+5.55052046732548E-5i
1,1110,500.00000000000006,-9.9780897749891E-8+5.222037448612149E-5i
1,1120,500.00000000000006,-2.8605381243137594E-7+4.685270846247743E-5i
1,1130,500.00000000000006,-1.0081181077266372E-6+3.530189202310307E-5i
1,1140,500.00000000000006,-1.0045098467994795E-5-1.6788780766729904E-5i
1,1150,500.00000000000006,-1.3973727651590945E-5+1.484645282603374E-4i
1,1160,500.00000000000006,-1.6495784224380843E-6+8.971079211403236E-5i
1,1170,500.00000000000006,-6.39899803284207E-7+7.763190184614348E-5i
1,1180,500.00000000000006,-3.484040668742805E-7+7.216576100541169E-5i
1,1190,500.00000000000006,-2.2262044734518702E-7+6.88944434743373E-5i
1,1200,500.00000000000006,-1.5602314217583645E-7+6.662141648490063E-5i
1,1210,500.00000000000006,-1.1609420566267274E-7+6.488829865234055E-5i
1,1220,500.00000000000006,-9.007427136509422E-8+6.348167097019409E-5i
1,1230,500.00000000000006,-7.207987651202266E-8+6.228867720107396E-5i
1,1240,500.00000000000006,-5.9072349245805464E-8+6.124399264561021E-5i
1,1250,500.00000000000006,-4.934417402521845E-8+6.030714993253655E-5i
1,1260,500.00000000000006,-4.1871094831037314E-8+5.945171450830072E-5i
1,1270,500.00000000000006,-3.600584523553649E-8+5.8659663972236244E-5i
1,1280,500.00000000000006,-3.1321609305384374E-8+5.79182690803907E-5i
1,1290,500.00000000000006,-2.752679347149391E-8+5.721826705823736E-5i
1,1300,500.00000000000006,-2.441613530748604E-8+5.6552742834304745E-5i
1,1310,500.00000000000006,-2.184139690594649E-8+5.591641748744055E-5i
1,1320,500.00000000000006,-1.9693126361236176E-8+5.530518082430155E-5i
1,1330,500.00000000000006,-1.788893362783139E-8+5.471577560309874E-5i
1,1340,500.00000000000006,-1.6365737963987823E-8+5.414557890056927E-5i
1,1350,500.00000000000006,-1.5074512524613758E-8+5.359244740878292E-5i
1,1360,500.00000000000006,-1.3976642399641758E-8+5.3054605817080174E-5i
1,1370,500.00000000000006,-1.3041350716236083E-8+5.2530564850957606E-5i
1,1380,500.00000000000006,-1.224384732971553E-8+5.201906011279589E-5i
1,1390,500.00000000000006,-1.156397608522448E-8+5.151900576073872E-5i
1,1400,500.00000000000006,-1.0985212301621595E-8+5.102945893155298E-5i
1,1410,500.00000000000006,-1.0493910355824377E-8+5.0549592046790946E-5i
1,1420,500.00000000000006,-1.0078732627435466E-8+5.007867097037127E-5i
1,1430,500.00000000000006,-9.730211875485994E-9+4.9616037551693275E-5i
1,1440,500.00000000000006,-9.44041317217651E-9+4.9161095480593056E-5i
1,1450,500.00000000000006,-9.202671165495028E-9+4.8713298655548255E-5i
1,1460,500.00000000000006,-9.01138517919068E-9+4.827214146144376E-5i
1,1470,500.00000000000006,-8.861859439184442E-9+4.783715049224507E-5i
1,1480,500.00000000000006,-8.750179174908689E-9+4.7407877353156585E-5i
1,1490,500.00000000000006,-8.673115900584636E-9+4.6983892247266225E-5i
1,1500,500.00000000000006,-8.628057126795702E-9+4.6564778100466556E-5i
1,1510,500.00000000000006,-8.612957291140319E-9+4.61501250104894E-5i
1,1520,500.00000000000006,-8.626307980114331E-9+4.573952482411538E-5i
1,1530,500.00000000000006,-8.667126664902614E-9+4.5332565652788144E-5i
1,1540,500.00000000000006,-8.734964295876338E-9+4.492882613135701E-5i
1,1550,500.00000000000006,-8.82993330411815E-9+4.4527869206864785E-5i
1,1560,500.00000000000006,-8.952758959533032E-9+4.4129235212576884E-5i
1,1570,500.00000000000006,-9.104858790517298E-9+4.3732433933241E-5i
1,1580,500.00000000000006,-9.288457085704845E-9+4.333693529592844E-5i
1,1590,500.00000000000006,-9.506744676061739E-9+4.29421582187809E-5i
1,1600,500.00000000000006,-9.76409868405868E-9+4.254745700546589E-5i
1,1610,500.00000000000006,-1.0066383416446662E-8+4.2152104468524006E-5i
1,1620,500.00000000000006,-1.0421363149278254E-8+4.175527067243589E-5i
1,1630,500.00000000000006,-1.0839271942867129E-8+4.1355995765429795E-5i
1,1640,500.00000000000006,-1.1333607662114105E-8+4.0953154752139786E-5i
1,1650,500.00000000000006,-1.1922251800792017E-8+4.054541114259616E-5i
1,1660,500.00000000000006,-1.2629071610446088E-8+4.013115502707702E-5i
1,1670,500.00000000000006,-1.3486250610877626E-8+3.970841898888486E-5i
1,1680,500.00000000000006,-1.4537743400813602E-8+3.9274761896851006E-5i
1,1690,500.00000000000006,-1.5844508356757177E-8+3.882710517390297E-5i
1,1700,500.00000000000006,-1.749262878559083E-8+3.8361497093065015E-5i
1,1710,500.00000000000006,-1.9606272172677E-8+3.787276515661479E-5i
1,1720,500.00000000000006,-2.2369039743365808E-8+3.735398911635017E-5i
1,1730,500.00000000000006,-2.6060460679405833E-8+3.679567639396397E-5i
1,1740,500.00000000000006,-3.112112692638619E-8+3.618442334433475E-5i
1,1750,500.00000000000006,-3.827505594849048E-8+3.550064486638245E-5i
1,1760,500.00000000000006,-4.877421476517913E-8+3.471451670311373E-5i
1,1770,500.00000000000006,-6.492581099543337E-8+3.377824131744457E-5i
1,1780,500.00000000000006,-9.134429652874239E-8+3.261006148797366E-5i
1,1790,500.00000000000006,-1.3832433494299988E-7+3.105753373748901E-5i
1,1800,500.00000000000006,-2.326570804017866E-7+2.8800045689081108E-5i
1,1810,500.00000000000006,-4.626028490806207E-7+2.5028969127852226E-5i
1,1820,500.00000000000006,-1.269748160927784E-6+1.6955200728427403E-5i
1,1830,500.00000000000006,-9.033652039607664E-6-1.533371267124247E-5i
1,1840,500.00000000000006,-2.311232934644799E-5+1.1632586104530546E-4i
1,1850,500.00000000000006,-2.060598690634703E-6+6.0473405732822355E-5i
1,1860,500.00000000000006,-7.49541402389359E-7+5.030893550227433E-5i
1,1870,500.00000000000006,-4.013039719054457E-7+4.59683428930751E-5i
1,1880,500.00000000000006,-2.5839043431858604E-7+4.348894744977772E-5i
1,1890,500.00000000000006,-1.8543555300739604E-7+4.18380469403017E-5i
1,1900,500.00000000000006,-1.42927115307356E-7+4.06280606554755E-5i
1,1910,500.00000000000006,-1.15858245084577E-7+3.968089778270405E-5i
1,1920,500.00000000000006,-9.748798483843415E-8+3.890327225573373E-5i
1,1930,500.00000000000006,-8.441143047505749E-8+3.824158627591906E-5i
1,1940,500.00000000000006,-7.475237995122331E-8+3.766284338258835E-5i
1,1950,500.00000000000006,-6.740505763317716E-8+3.714560900015418E-5i
1,1960,500.00000000000006,-6.168185782067341E-8+3.6675345993685366E-5i
1,1970,500.00000000000006,-5.7136079207593374E-8+3.6241839356152624E-5i
1,1980,500.00000000000006,-5.346676708000313E-8+3.583769422075081E-5i
1,1990,500.00000000000006,-5.046483282360054E-8+3.5457419174277384E-5i
1,2000,500.00000000000006,-4.798114659630603E-8+3.5096844958417095E-5i
1,2010,500.00000000000006,-4.590690589177608E-8+3.475274357491686E-5i
1,2020,500.00000000000006,-4.416115197949753E-8+3.4422571512766653E-5i
1,2030,500.00000000000006,-4.268260024789469E-8+3.410429227815191E-5i
1,2040,500.00000000000006,-4.1424157141412383E-8+3.379625098604023E-5i
1,2050,500.00000000000006,-4.0349157368165266E-8+3.3497083955296784E-5i
1,2060,500.00000000000006,-3.942873028583636E-8+3.320565233896666E-5i
1,2070,500.00000000000006,-3.863992424017233E-8+3.292099256743974E-5i
1,2080,500.00000000000006,-3.7964350166745285E-8+3.264227874503571E-5i
1,2090,500.00000000000006,-3.7387187728890816E-8+3.236879366472285E-5i
1,2100,500.00000000000006,-3.6896449150670336E-8+3.2099906108435095E-5i
1,2110,500.00000000000006,-3.648242946610664E-8+3.183505277193429E-5i
1,2120,500.00000000000006,-3.6137294067214244E-8+3.157372360931002E-5i
1,2130,500.00000000000006,-3.585476936440184E-8+3.131544970582195E-5i
1,2140,500.00000000000006,-3.5629912648436266E-8+3.105979300479188E-5i
1,2150,500.00000000000006,-3.545894449032857E-8+3.08063373643566E-5i
1,2160,500.00000000000006,-3.533913228390292E-8+3.055468052236022E-5i
1,2170,500.00000000000006,-3.526871753113464E-8+3.030442661490479E-5i
1,2180,500.00000000000006,-3.524688268444474E-8+3.005517893369132E-5i
1,2190,500.00000000000006,-3.527375615965251E-8+2.980653262401274E-5i
1,2200,500.00000000000006,-3.535045682994249E-8+2.9558067020550775E-5i
1,2210,500.00000000000006,-3.5479182194104655E-8+2.9309337291711593E-5i
1,2220,500.00000000000006,-3.5663347814640906E-8+2.9059865012025283E-5i
1,2230,500.00000000000006,-3.5907789954099614E-8+2.8809127200231367E-5i
1,2240,500.00000000000006,-3.6219049178712974E-8+2.8556543238431356E-5i
1,2250,500.00000000000006,-3.660576089483665E-8+2.8301458909624723E-5i
1,2260,500.00000000000006,-3.707919063295193E-8+2.8043126533511027E-5i
1,2270,500.00000000000006,-3.765396944383075E-8+2.7780679806742693E-5i
1,2280,500.00000000000006,-3.8349111325332835E-8+2.7513101406455064E-5i
1,2290,500.00000000000006,-3.9189435621534146E-8+2.723918060324516E-5i
1,2300,500.00000000000006,-4.0207582068216405E-8+2.6957456903722125E-5i
1,2310,500.00000000000006,-4.144691064016467E-8+2.6666143857469657E-5i
1,2320,500.00000000000006,-4.296575116211458E-8+2.6363024202031802E-5i
1,2330,500.00000000000006,-4.484376126486284E-8+2.6045302754887775E-5i
1,2340,500.00000000000006,-4.719166530977197E-8+2.5709395585142508E-5i
1,2350,500.00000000000006,-5.016657754345026E-8+2.535062057420943E-5i
1,2360,500.00000000000006,-5.399686274335611E-8+2.496273078994538E-5i
1,2370,500.00000000000006,-5.9023923957401345E-8+2.453718861245682E-5i
1,2380,500.00000000000006,-6.577540004330853E-8+2.4061994938349565E-5i
1,2390,500.00000000000006,-7.509977532899192E-8+2.351971806439514E-5i
1,2400,500.00000000000006,-8.842878560290702E-8+2.2883999177580105E-5i
1,2410,500.00000000000006,-1.0832668402315098E-7+2.2112948708748667E-5i
1,2420,500.00000000000006,-1.3974695936993716E-7+2.1135607343672933E-5i
1,2430,500.00000000000006,-1.9325720747725233E-7+1.9820972462759167E-5i
1,2440,500.00000000000006,-2.9469504321206934E-7+1.789464974318198E-5i
1,2450,500.00000000000006,-5.215134093423652E-7+1.46327736437348E-5i
1,2460,500.00000000000006,-1.7951466260836243E-5+1.4014737295405515E-5i
1,2470,500.00000000000006,-6.010255026151521E-6-9.179700358661759E-6i
1,2480,500.00000000000006,-1.167380248229775E-4+1.3273302135705483E-4i
1,2490,500.00000000000006,-3.6811867246375855E-6+5.300270367823315E-5i
1,2500,500.00000000000006,-1.1107256774003015E-6+4.01727801031201E-5i
1,2510,500.00000000000006,-5.515213044714428E-7+3.53215530198136E-5i
1,2520,500.00000000000006,-3.4206798243278527E-7+3.272403778287998E-5i
1,2530,500.00000000000006,-2.409240782121313E-7+3.1072268997907286E-5i
1,2540,500.00000000000006,-1.842335214430715E-7+2.9906215733423555E-5i
1,2550,500.00000000000006,-1.4917883017623003E-7+2.90226630812373E-5i
1,2560,500.00000000000006,-1.259401203873501E-7+2.8317967728909485E-5i
1,2570,500.00000000000006,-1.0971557091845877E-7+2.7733724257152305E-5i
1,2580,500.00000000000006,-9.792680957094488E-8+2.7234504695417264E-5i
1,2590,500.00000000000006,-8.908644115535073E-8+2.6797563597992773E-5i
1,2600,500.00000000000006,-8.228630178620815E-8+2.6407622358736063E-5i
1,2610,500.00000000000006,-7.69457345797386E-8+2.6054031363889396E-5i
1,2620,500.00000000000006,-7.267904201046624E-8+2.5729134538083725E-5i
1,2630,500.00000000000006,-6.922167458801953E-8+2.5427281073831435E-5i
1,2640,500.00000000000006,-6.638715641110869E-8+2.5144203981533967E-5i
1,2650,500.00000000000006,-6.404092713374957E-8+2.4876615800586864E-5i
1,2660,500.00000000000006,-6.208390352913892E-8+2.4621937740199782E-5i
1,2670,500.00000000000006,-6.044183733808554E-8+2.4378113477292957E-5i
1,2680,500.00000000000006,-5.9058244062931964E-8+2.41434781898363E-5i
1,2690,500.00000000000006,-5.7889595920240844E-8+2.3916664523285634E-5i
1,2700,500.00000000000006,-5.6901987731497655E-8+2.3696533789846344E-5i
1,2710,500.00000000000006,-5.606878354989701E-8+2.3482124735519524E-5i
1,2720,500.00000000000006,-5.536893037140303E-8+2.327261474027876E-5i
1,2730,500.00000000000006,-5.478573476786308E-8+2.3067289940236514E-5i
1,2740,500.00000000000006,-5.4305967058988615E-8+2.2865521823261687E-5i
1,2750,500.00000000000006,-5.391920184157615E-8+2.2666748557318537E-5i
1,2760,500.00000000000006,-5.361733273462823E-8+2.247045978890445E-5i
1,2770,500.00000000000006,-5.3394218718146784E-8+2.2276183975160787E-5i
1,2780,500.00000000000006,-5.3245432903745856E-8+2.2083477536649514E-5i
1,2790,500.00000000000006,-5.316809416131291E-8+2.1891915269567843E-5i
1,2800,500.00000000000006,-5.3160769158691257E-8+2.1701081556447828E-5i
1,2810,500.00000000000006,-5.3223438021694744E-8+2.1510561975539013E-5i
1,2820,500.00000000000006,-5.3357521697253226E-8+2.131993493849776E-5i
1,2830,500.00000000000006,-5.356597378868589E-8+2.112876298702873E-5i
1,2840,500.00000000000006,-5.385344467227759E-8+2.0936583351844424E-5i
1,2850,500.00000000000006,-5.42265317178281E-8+2.0742897318324664E-5i
1,2860,500.00000000000006,-5.469413720366785E-8+2.0547157845301864E-5i
1,2870,500.00000000000006,-5.526796614083117E-8+2.0348754733950882E-5i
1,2880,500.00000000000006,-5.5963211354228736E-8+2.014699642270994E-5i
1,2890,500.00000000000006,-5.679949538580906E-8+1.9941087159785954E-5i
1,2900,500.00000000000006,-5.780217219729578E-8+1.973009782741154E-5i
1,2910,500.00000000000006,-5.9004143076381864E-8+1.951292798201608E-5i
1,2920,500.00000000000006,-6.044842204716979E-8+1.9288255603442375E-5i
1,2930,500.00000000000006,-6.219181628988433E-8+1.9054469401544507E-5i
1,2940,500.00000000000006,-6.43103019603935E-8+1.880957595008027E-5i
1,2950,500.00000000000006,-6.690704007678657E-8+1.855106978003378E-5i
1,2960,500.00000000000006,-7.012461359107338E-8+1.8275747746354334E-5i
1,2970,500.00000000000006,-7.416421678347463E-8+1.797943740724531E-5i
1,2980,500.00000000000006,-7.931668675792661E-8+1.765658882861343E-5i
1,2990,500.00000000000006,-8.601449875310604E-8+1.7299642124916988E-5i
1,3000,500.00000000000006,-9.492257038755775E-8+1.6898012242617937E-5i
1,3010,500.00000000000006,-1.0710478745020878E-7+1.643639016087437E-5i
1,3020,500.00000000000006,-1.243478422586701E-7+1.5891755439192844E-5i
1,3030,500.00000000000006,-1.4983783680839277E-7+1.5227794784563243E-5i
1,3040,500.00000000000006,-1.8970701981963692E-7+1.4383656145300949E-5i
1,3050,500.00000000000006,-2.570069481186754E-7+1.324897574902331E-5i
1,3060,500.00000000000006,-3.8366243668356017E-7+1.1600690863973338E-5i
1,3070,500.00000000000006,-6.657057441066187E-7+8.91044751423005E-6i
1,3080,500.00000000000006,-1.5117317705448587E-6+3.5580414876883044E-6i
1,3090,500.00000000000006,-6.5955461691786925E-6-1.2735705201344571E-5i
1,3100,500.00000000000006,-1.1042584188112602E-4+8.802677509427957E-5i
1,3110,500.00000000000006,-4.316349803215493E-6+4.343021527195256E-5i
1,3120,500.00000000000006,-1.281395005800627E-6+3.1713582525329256E-5i
1,3130,500.00000000000006,-6.291109857642045E-7+2.727514531447948E-5i
1,3140,500.00000000000006,-3.874001780567313E-7+2.489964071287968E-5i
1,3150,500.00000000000006,-2.7180190668808834E-7+2.3384764698328634E-5i
1,3160,500.00000000000006,-2.0761034187098E-7+2.230644851602344E-5i
1,3170,500.00000000000006,-1.6830751521311425E-7+2.1475767479551245E-5i
1,3180,500.00000000000006,-1.425734779756491E-7+2.0793759040120033E-5i
1,3190,500.00000000000006,-1.2496149389203553E-7+2.020033471611256E-5i
1,3200,500.00000000000006,-1.1269344613906475E-7+1.9651380683644864E-5i
1,3210,500.00000000000006,-1.045053090522897E-7+1.9103410098354618E-5i
1,3220,500.00000000000006,-1.006297992952112E-7+1.849210605801669E-5i
1,3230,500.00000000000006,-1.0528538882894399E-7+1.7669348931723315E-5i
1,3240,500.00000000000006,-1.5018973984463987E-7+1.606076466756765E-5i
1,3250,500.00000000000006,-1.6858683412406663E-6+5.402674201993985E-6i
1,3260,500.00000000000006,-4.0211867278862717E-7+2.4148228585232777E-5i
1,3270,500.00000000000006,-1.424305750528255E-7+2.0705488833217238E-5i
1,3280,500.00000000000006,-1.0482308123026944E-7+1.9645888329099806E-5i
1,3290,500.00000000000006,-9.123877332374543E-8+1.905240179828811E-5i
1,3300,500.00000000000006,-8.428850263399645E-8+1.8632854143841746E-5i
1,3310,500.00000000000006,-8.003162966936864E-8+1.829880824542706E-5i
1,3320,500.00000000000006,-7.714091368949717E-8+1.8013981687628955E-5i
1,3330,500.00000000000006,-7.505313840812186E-8+1.776052682429261E-5i
1,3340,500.00000000000006,-7.348947522972438E-8+1.752850824868255E-5i
1,3350,500.00000000000006,-7.229586556152269E-8+1.7311866188400178E-5i
1,3360,500.00000000000006,-7.13800699362352E-8+1.710663110079726E-5i
1,3370,500.00000000000006,-7.068354700853183E-8+1.6910046016630728E-5i
1,3380,500.00000000000006,-7.016763353036657E-8+1.6720097983304585E-5i
1,3390,500.00000000000006,-6.980622787124775E-8+1.6535250473173286E-5i
1,3400,500.00000000000006,-6.95816892908054E-8+1.635428151583938E-5i
1,3410,500.00000000000006,-6.948244641074617E-8+1.6176180591286255E-5i
1,3420,500.00000000000006,-6.950157719702214E-8+1.6000079621765496E-5i
1,3430,500.00000000000006,-6.96359806962042E-8+1.5825204372352593E-5i
1,3440,500.00000000000006,-6.988593932281512E-8+1.5650838251462774E-5i
1,3450,500.00000000000006,-7.025496616742396E-8+1.5476293561053835E-5i
1,3460,500.00000000000006,-7.074988788704732E-8+1.5300886929242065E-5i
1,3470,500.00000000000006,-7.138115118021134E-8+1.512391657492851E-5i
1,3480,500.00000000000006,-7.216337094681753E-8+1.4944639509470988E-5i
1,3490,500.00000000000006,-7.311616828458246E-8+1.4762246922892247E-5i
1,3500,500.00000000000006,-7.426538272429322E-8+1.4575835891248051E-5i
1,3510,500.00000000000006,-7.564479278567616E-8+1.4384375176202571E-5i
1,3520,500.00000000000006,-7.72985523946908E-8+1.4186662210675809E-5i
1,3530,500.00000000000006,-7.928466456650341E-8+1.3981267250042507E-5i
1,3540,500.00000000000006,-8.167999638501471E-8+1.376645888839072E-5i
1,3550,500.00000000000006,-8.458764109992115E-8+1.3540102291815168E-5i
1,3560,500.00000000000006,-8.81479468813855E-8+1.3299516874375624E-5i
1,3570,500.00000000000006,-9.25554343078251E-8+1.3041272448536794E-5i
1,3580,500.00000000000006,-9.808546664280768E-8+1.276088971129115E-5i
1,3590,500.00000000000006,-1.0513764394255261E-7+1.2452387600961686E-5i
1,3600,500.00000000000006,-1.1430904097638592E-7+1.2107577085716064E-5i
1,3610,500.00000000000006,-1.2652322602153774E-7+1.1714918063947672E-5i
1,3620,500.00000000000006,-1.4326938797442187E-7+1.1257587402088713E-5i
1,3630,500.00000000000006,-1.6707350182142364E-7+1.0710040375151394E-5i
1,3640,500.00000000000006,-2.024991988608674E-7+1.003149112841967E-5i
1,3650,500.00000000000006,-2.584854959848183E-7+9.1525313921264E-6i
