% Model,Untitled.mph
% Version,COMSOL 6.1.0.357
% Date,"Nov 9 2023, 17:38"
% Table,sweep10kd1 - 
% freq (Hz),"Total acoustic pressure (Pa), Pressure","Total acoustic velocity, z-component (m^3/s), Velocity"
1150,11000,-1.7462991479906687E-5-0.0032396269681276364i
1160,11000,-3.411421772924468E-5-0.006412243419692073i
1170,11000,-8.978145584666896E-5-0.01376697819077508i
1180,11000,-7.378559119506922E-4-0.050945348568675525i
1190,11000,-5.546891960416912E-4+0.057250194825089064i
1200,11000,-4.560027491414878E-5+0.02213924913028435i
1210,11000,-8.793508343495602E-6+0.014952381188379485i
1220,11000,4.396195958379475E-8+0.011829176153201547i
1230,11000,3.1062529298498007E-6+0.010067363200047712i
1240,11000,4.344347636783525E-6+0.008926087292024472i
1250,11000,4.862806097926086E-6+0.008119632412441612i
1260,11000,5.056464372830866E-6+0.007514431449665201i
1270,11000,5.0903451666442845E-6+0.0070396801860751245i
1280,11000,5.0412711424446364E-6+0.006654341560845241i
1290,11000,4.947897927947397E-6+0.006332985264758262i
1300,11000,4.83082373764667E-6+0.00605900841527399i
1310,11000,4.701496903769593E-6+0.0058211074633326195i
1320,11000,4.566472481626317E-6+0.005611316848546077i
1330,11000,4.429573730710003E-6+0.005423858599057057i
1340,11000,4.293045424511806E-6+0.005254436893179127i
1350,11000,4.158194899044283E-6+0.00509978892980053i
1360,11000,4.02576068551813E-6+0.004957389642193317i
1370,11000,3.896130574833484E-6+0.004825252072655407i
1380,11000,3.7694736699959703E-6+0.004701789081143096i
1390,11000,3.6458218888739107E-6+0.004585715448874941i
1400,11000,3.525121018784374E-6+0.00447597722413729i
1410,11000,3.407263034570946E-6+0.004371699830558446i
1420,11000,3.2921066672874766E-6+0.004272149342071004i
1430,11000,3.179490481614414E-6+0.004176703153496541i
1440,11000,3.0692411025747635E-6+0.004084827456350113i
1450,11000,2.961178254706539E-6+0.003996059708903671i
1460,11000,2.8551176732286773E-6+0.003909994813546522i
1470,11000,2.7508725676476222E-6+0.0038262740725041426i
1480,11000,2.6482540750458407E-6+0.0037445762411494007i
1490,11000,2.54707098222533E-6+0.003664610172279004i
1500,11000,2.447128888940102E-6+0.003586108668135229i
1510,11000,2.3482289121256002E-6+0.0035088232449555466i
1520,11000,2.2501659777278946E-6+0.003432519577672459i
1530,11000,2.1527267057421727E-6+0.0033569734369174264i
1540,11000,2.0556868595645012E-6+0.00328196696131161i
1550,11000,1.9588083006826E-6+0.0032072851281948235i
1560,11000,1.8618353519408011E-6+0.0031327122973518248i
1570,11000,1.76449043832484E-6+0.0030580287059760987i
1580,11000,1.6664688248968618E-6+0.002983006789365786i
1590,11000,1.5674322121825561E-6+0.002907407190282859i
1600,11000,1.4670008695214891E-6+0.002830974299366139i
1610,11000,1.364743880137558E-6+0.0027534311373856495i
1620,11000,1.260166924150349E-6+0.0026744733442020554i
1630,11000,1.152696820713056E-6+0.002593761973997234i
1640,11000,1.041661761427178E-6+0.0025109147041823816i
1650,11000,9.262657503190232E-7+0.002425494935079076i
1660,11000,8.055551639021307E-7+0.002336998071828407i
1670,11000,6.783744504951268E-7+0.0022448340128348367i
1680,11000,5.433066534205538E-7+0.0021483044793813182i
1690,11000,3.985923752432049E-7+0.0020465732439380823i
1700,11000,2.420176320694935E-7+0.0019386264449902987i
1710,11000,7.075589723154328E-8+0.0018232188398333799i
1720,11000,-1.1885868554847066E-7+0.0016987997484639984i
1730,11000,-3.3166398473593276E-7+0.0015634090665464376i
1740,11000,-5.74169803146623E-7+0.0014145281480506687i
1750,11000,-8.553298650196751E-7+0.0012488608575991086i
1760,11000,-1.187771594026903E-6+0.00106200334305935i
1770,11000,-1.5898266859812999E-6+8.479303661019011E-4i
1780,11000,-2.0890271536438106E-6+5.981670983543041E-4i
1790,11000,-2.7284296837788318E-6+3.00396064052079E-4i
1800,11000,-3.5787572558018497E-6-6.40079556296748E-5i
1810,11000,-4.7634723234864865E-6-5.246192733042828E-4i
1820,11000,-6.5155319553962425E-6-0.0011314072063917985i
1830,11000,-9.322166728058763E-6-0.0019759989434784213i
1840,11000,-1.4359657715499638E-5-0.0032465499169151845i
1850,11000,-2.5152014704910872E-5-0.005400357803173871i
1860,11000,-5.698874883700595E-5-0.00991310208854209i
1870,11000,-2.6633044436241953E-4-0.025674447739139836i
1880,11000,-0.0036419294784780973+0.11265228243855392i
1890,11000,-9.16730199085218E-5+0.02117921010150243i
1900,11000,-2.31717963653642E-5+0.012671106239644701i
1910,11000,-8.859844970181707E-6+0.009452462738869459i
1920,11000,-3.864645728450215E-6+0.007748800632577886i
1930,11000,-1.6558116305000712E-6+0.006686798942824638i
1940,11000,-5.403812488210652E-7+0.005956189815671116i
1950,11000,6.938822072121654E-8+0.005418968799410356i
1960,11000,4.180113821604807E-7+0.005004407470979059i
1970,11000,6.206614867032332E-7+0.00467250599397636i
1980,11000,7.367417244506523E-7+0.004398935627501295i
1990,11000,7.990854270951436E-7+0.004168044793891179i
2000,11000,8.268537557086343E-7+0.003969303592912864i
2010,11000,8.317272279312141E-7+0.003795363892487918i
2020,11000,8.210832282193945E-7+0.0036409388031856133i
2030,11000,7.997185693673907E-7+0.0035021242806921493i
2040,11000,7.708270460415546E-7+0.0033759718522444744i
2050,11000,7.365761265102264E-7+0.003260210279982064i
2060,11000,6.984586441474361E-7+0.0031530588801103373i
2070,11000,6.575135032485829E-7+0.003053099077155352i
2080,11000,6.144676593630515E-7+0.0029591840038845204i
2090,11000,5.698294314322665E-7+0.0028703735723753124i
2100,11000,5.239509591109875E-7+0.0027858869695920135i
2110,11000,4.770706453633406E-7+0.002705067301957461i
2120,11000,4.2934233693277164E-7+0.002627354853462436i
2130,11000,3.808555356847669E-7+0.002552266539773723i
2140,11000,3.316494191119607E-7+0.0024793798738020918i
2150,11000,2.8172249035140384E-7+0.002408320247516941i
2160,11000,2.3103906785016174E-7+0.002338750666552424i
2170,11000,1.795334123304532E-7+0.0022703633018670696i
2180,11000,1.2711201910849486E-7+0.0022028723803884723i
2190,11000,7.365440868246887E-8+0.0021360080459610843i
2200,11000,1.9012607926715153E-8+0.0020695108972109055i
2210,11000,-3.699059658324512E-8+0.002003126959301134i
2220,11000,-9.456464647443583E-8+0.0019366028778473028i
2230,11000,-1.539555444364147E-7+0.0018696811389668122i
2240,11000,-2.1545173177903528E-7+0.001802095121280841i
2250,11000,-2.7939182284199867E-7+0.0017335637738557712i
2260,11000,-3.461746496530724E-7+0.0016637856872658062i
2270,11000,-4.162722572809143E-7+0.0015924322801835152i
2280,11000,-4.902467472786551E-7+0.0015191397559870367i
2290,11000,-5.687722288722752E-7+0.0014434993845582216i
2300,11000,-6.526636598679383E-7+0.0013650455209676027i
2310,11000,-7.429151280990099E-7+0.0012832405653189776i
2320,11000,-8.407512781371121E-7+0.0011974557658176307i
2330,11000,-9.476973582417173E-7+0.0011069463212162547i
2340,11000,-1.0656761414692279E-6+0.0010108185700469317i
2350,11000,-1.1971444572929575E-6+9.07986031199463E-4i
2360,11000,-1.3452895272977758E-6+7.971094590600683E-4i
2370,11000,-1.5143181839326994E-6+6.765134986227288E-4i
2380,11000,-1.7098953926343774E-6+5.440682320844697E-4i
2390,11000,-1.939833482868479E-6+3.9701643482900655E-4i
2400,11000,-2.2152279333686025E-6+2.3171353968357456E-4i
2410,11000,-2.5524601348530458E-6+4.3219319973968824E-5i
2420,11000,-2.9771328709850814E-6-1.7538562266501513E-4i
2430,11000,-3.5335009371769495E-6-4.3428865085813417E-4i
2440,11000,-4.318749704076187E-6-7.501916809179157E-4i
2450,11000,-5.850892220228656E-6-0.001167038062629858i
2460,11000,-5.780999593975983E-6-0.0015046638806320524i
2470,11000,-7.998741106540486E-6-0.002221898125411645i
2480,11000,-1.1417184722224427E-5-0.003156594548814073i
2490,11000,-1.772854757684362E-5-0.004586675317078917i
2500,11000,-3.2179597422382545E-5-0.007103225459794978i
2510,11000,-8.074168814118636E-5-0.012792998331720639i
2520,11000,-5.750265350659933E-4-0.03848336641590715i
2530,11000,-9.035035962049796E-4+0.05400453988935867i
2540,11000,-7.64594833804082E-5+0.017489632710069123i
2550,11000,-2.4429268958724645E-5+0.010948784542680508i
2560,11000,-1.1278353780645525E-5+0.008199988328028691i
2570,11000,-6.215995809611939E-6+0.006677797771996744i
2580,11000,-3.810401573943723E-6+0.005705049787126754i
2590,11000,-2.5139936578208797E-6+0.005025530754532633i
2600,11000,-1.7556965462036737E-6+0.0045208667225733815i
2610,11000,-1.2869068790943232E-6+0.0041288103712404664i
2620,11000,-9.86133502699214E-7+0.0038134950078187175i
2630,11000,-7.886891903850119E-7+0.0035527930280063844i
2640,11000,-6.577756807111507E-7+0.003332307684565884i
2650,11000,-5.713299802406604E-7+0.0031422639116139143i
2660,11000,-5.155473184675138E-7+0.0029757876476002266i
2670,11000,-4.814810232704806E-7+0.00282790029559561i
2680,11000,-4.6316082312657573E-7+0.0026949039749912945i
2690,11000,-4.565042621984499E-7+0.00257399110209405i
2700,11000,-4.5866272769296374E-7+0.0024629882176425873i
2710,11000,-4.6761562558011784E-7+0.0023601830692230354i
2720,11000,-4.819113834605982E-7+0.002264204943651182i
2730,11000,-5.004980941892276E-7+0.0021739399875673505i
2740,11000,-5.226104340913462E-7+0.0020884700661131447i
2750,11000,-5.47692810520482E-7+0.0020070277877495815i
2760,11000,-5.753463833740152E-7+0.0019289628341242976i
2770,11000,-6.052921714610768E-7+0.0018537163186094665i
2780,11000,-6.373452388790622E-7+0.0017808009194373632i
2790,11000,-6.713966956905792E-7+0.0017097852055613957i
2800,11000,-7.074013612372383E-7+0.0016402810224899777i
2810,11000,-7.453696689490069E-7+0.0015719331090447144i
2820,11000,-7.85362887718147E-7+0.0015044103227134383i
2830,11000,-8.274910834688945E-7+0.0014373979915203244i
2840,11000,-8.719135053690978E-7+0.0013705910035236716i
2850,11000,-9.188412918713555E-7+0.0013036873033128603i
2860,11000,-9.685425815140966E-7+0.0012363814954325359i
2870,11000,-1.0213503059929036E-6+0.0011683582611232628i
2880,11000,-1.0776731624365222E-6+0.0010992852777358837i
2890,11000,-1.1380105357674785E-6+0.0010288052873464728i
2900,11000,-1.2029725075924132E-6+9.565268867978711E-4i
2910,11000,-1.2733065986496196E-6+8.820134955296355E-4i
2920,11000,-1.349933628621386E-6+8.047697836074035E-4i
2930,11000,-1.4339961680712313E-6+7.242245839423805E-4i
2940,11000,-1.5269247098498202E-6+6.397089276428689E-4i
2950,11000,-1.6305292458245338E-6+5.50427261639002E-4i
2960,11000,-1.7471279865067403E-6+4.5541902107650907E-4i
2970,11000,-1.879731533566579E-6+3.5350634696557743E-4i
2980,11000,-2.0323117602259336E-6+2.432215369126055E-4i
2990,11000,-2.210203418555979E-6+1.2270421580432808E-4i
3000,11000,-2.4207197233318316E-6-1.0447845646753853E-5i
3010,11000,-2.674124209213387E-6-1.5940087008766899E-4i
3020,11000,-2.9852180847497256E-6-3.284257842588796E-4i
3030,11000,-3.376037277190037E-6-5.234389199064396E-4i
3040,11000,-3.880652696774314E-6-7.528950173377937E-4i
3050,11000,-4.554200795844111E-6-0.0010293337161637317i
3060,11000,-5.491057197667731E-6-0.0013722161629911036i
3070,11000,-6.86461229927293E-6-0.0018135122709298467i
3080,11000,-9.024225198654225E-6-0.0024097545072412877i
3090,11000,-1.276816852755981E-5-0.003271385481902269i
3100,11000,-2.0286553547818557E-5-0.004647465709151569i
3110,11000,-3.96517991705485E-5-0.007243512845422302i
3120,11000,-1.2434414212124967E-4-0.014155650029439347i
3130,11000,-0.004923836384434968-0.09719388953679006i
3140,11000,-2.1859275938344305E-4+0.022156400227959713i
3150,11000,-4.1349464193875165E-5+0.010282284390563565i
3160,11000,-1.62426173845172E-5+0.006770065975099755i
3170,11000,-8.504556847756386E-6+0.005045090550871597i
3180,11000,-5.272029129074337E-6+0.003985008856363779i
3190,11000,-3.7046128671839796E-6+0.0032344703546595445i
3200,11000,-2.907536391370188E-6+0.0026401322973796876i
3210,11000,-2.5506552769574466E-6+0.0021166572898852092i
3220,11000,-2.534914245025978E-6+0.0015984189113499964i
3230,11000,-2.9413226655869367E-6+0.0010066644723690508i
3240,11000,-4.238824716187098E-6+1.8953340532756286E-4i
3250,11000,-8.7721391179351E-6-0.0013162304210032844i
3260,11000,-4.407157335860702E-5-0.006430742521423605i
3270,11000,-3.433146150841306E-4+0.02635535825675492i
3280,11000,-1.5768296036324996E-5+0.007005335047678294i
3290,11000,-5.5491280416142525E-6+0.004669348036445244i
3300,11000,-3.1461168600880232E-6+0.003709384470367878i
3310,11000,-2.2280406582413468E-6+0.0031614055458543916i
3320,11000,-1.7887769851102403E-6+0.002793300141667365i
3330,11000,-1.5513086541963917E-6+0.0025206672777955785i
3340,11000,-1.414268569326224E-6+0.0023052242799176956i
3350,11000,-1.3333151071210608E-6+0.0021269634150403354i
3360,11000,-1.2865059284631032E-6+0.0019743286198480657i
3370,11000,-1.261961537621027E-6+0.0018401248689800865i
3380,11000,-1.2528028265615633E-6+0.001719599654152388i
3390,11000,-1.2548408924600847E-6+0.0016094581893624366i
3400,11000,-1.2654318526243284E-6+0.001507320488683804i
3410,11000,-1.2828705005042798E-6+0.0014114040411944192i
3420,11000,-1.3060519299217172E-6+0.001320328958745346i
3430,11000,-1.3342748549258158E-6+0.0012329930475023245i
3440,11000,-1.367124036510357E-6+0.0011484884850439748i
3450,11000,-1.4043992045823274E-6+0.0010660440837453856i
3460,11000,-1.446072820227123E-6+9.849836722170486E-4i
3470,11000,-1.4922669008011925E-6+9.046947568732035E-4i
3480,11000,-1.5432435227302974E-6+8.246036987253986E-4i
3490,11000,-1.59940624388026E-6+7.441548435714848E-4i
3500,11000,-1.6613114298785857E-6+6.627917350503571E-4i
3510,11000,-1.7296898151084686E-6+5.799389088859708E-4i
3520,11000,-1.8054798939827913E-6+4.949829100726104E-4i
3530,11000,-1.8898761798905202E-6+4.0725113394131666E-4i
3540,11000,-1.9843972661486946E-6+3.1598686796169273E-4i
3550,11000,-2.090981358195761E-6+2.203184669132753E-4i
3560,11000,-2.2121211144814333E-6+1.1921984606440502E-4i
3570,11000,-2.3510562364513545E-6+1.145827136877079E-5i
3580,11000,-2.5120530436846682E-6-1.0447650885914802E-4i
3590,11000,-2.700818463133194E-6-2.3047088989146524E-4i
3600,11000,-2.9251275058042467E-6-3.68928114052988E-4i
3610,11000,-3.1958002829494286E-6-5.22974288974973E-4i
3620,11000,-3.528271278300136E-6-6.967687066147725E-4i
3630,11000,-3.945202280075345E-6-8.959863668353473E-4i
3640,11000,-4.481020130825526E-6-0.0011285961695830277i
3650,11000,-5.190199825934343E-6-0.0014061708122656501i
3660,11000,-6.163318183671758E-6-0.001746207369033823i
3670,11000,-7.560542427469772E-6-0.002176503347390033i
3680,11000,-9.688267217757117E-6-0.002744081111645776i
3690,11000,-1.3196987368049086E-5-0.0035353328256437265i
3700,11000,-1.9683804307925693E-5-0.004728209274102828i
3710,11000,-3.403026645944229E-5-0.006757373415586927i
3720,11000,-7.799580376353777E-5-0.011038571769900581i
3730,11000,-3.8664382978427096E-4-0.026322094658862042i
3740,11000,-0.00417582339531865+0.09185306348026186i
3750,11000,-1.3785420490843999E-4+0.01760874703418571i
3760,11000,-4.035505015115548E-5+0.009952900153559851i
3770,11000,-1.8739897391809457E-5+0.007017112263330316i
3780,11000,-1.078997353075033E-5+0.005452086948379887i
3790,11000,-7.072514058347587E-6+0.004470796321700968i
3800,11000,-5.071173567718662E-6+0.0037915699517952245i
3810,11000,-3.890187987699101E-6+0.0032885160022024153i
3820,11000,-3.1479267076816527E-6+0.0028968442253392204i
3830,11000,-2.6603923829139986E-6+0.002579739811161368i
3840,11000,-2.330484375715952E-6+0.0023146626946634143i
3850,11000,-2.1033418059220286E-6+0.0020869595553655224i
3860,11000,-1.9463233590954094E-6+0.001886598888144067i
3870,11000,-1.839273654499581E-6+0.0017063713991916887i
3880,11000,-1.7694933667382068E-6+0.0015408271712455i
3890,11000,-1.7290396059021387E-6+0.0013855990790802462i
3900,11000,-1.7132855499747252E-6+0.0012369267611668623i
3910,11000,-1.7202574118053304E-6+0.0010912675212833415i
3920,11000,-1.750587716461677E-6+9.449038595523213E-4i
3930,11000,-1.8081896831336384E-6+7.934419600723787E-4i
3940,11000,-1.902165268383729E-6+6.310235949924497E-4i
3950,11000,-2.0514308025309098E-6+4.488740376154515E-4i
3960,11000,-2.2964660640324427E-6+2.3224447750512208E-4i
3970,11000,-2.733199179605478E-6-4.6990383651168874E-5i
3980,11000,-3.632606449253947E-6-4.517601961265807E-4i
3990,11000,-6.025100993977971E-6-0.0011609272624367331i
4000,11000,-1.7065783197387915E-5-0.0029732858446333455i
4010,11000,-8.957497341656748E-4-0.027842438086894555i
4020,11000,-2.9654266960197056E-5+0.005699443371973725i
4030,11000,-7.556392173476896E-6+0.0028866796801928787i
4040,11000,-4.188652718686619E-6+0.00199887828369883i
4050,11000,-3.1176026597629806E-6+0.0015353757997455036i
4060,11000,-2.6696071697964645E-6+0.0012330545992070574i
4070,11000,-2.4608088799058483E-6+0.0010084704765741727i
4080,11000,-2.3653136338853627E-6+8.266709717216988E-4i
4090,11000,-2.332385914247092E-6+6.702815021576367E-4i
4100,11000,-2.338783236600278E-6+5.295435803025005E-4i
4110,11000,-2.373058470492367E-6+3.9841238737468073E-4i
4120,11000,-2.429513137852377E-6+2.728018201263769E-4i
4130,11000,-2.505607085481381E-6+1.4970531296314003E-4i
4140,11000,-2.6007823630655085E-6+2.671128606474629E-5i
4150,11000,-2.71594047388666E-6-9.829166525485511E-5i
4160,11000,-2.8532671559153252E-6-2.2731670705345867E-4i
4170,11000,-3.0162821067479643E-6-3.6243925220015886E-4i
4180,11000,-3.2100758350489938E-6-5.059482279106338E-4i
4190,11000,-3.4417399110682925E-6-6.605142351799974E-4i
4200,11000,-3.7210037019835397E-6-8.294040558878302E-4i
4210,11000,-4.060946755700512E-6-0.0010167890708885287i
4220,11000,-4.477414039069105E-6-0.001228274996941395i
4230,11000,-4.970402168737386E-6-0.0014727219881277732i
4240,11000,-6.119153645955148E-6-0.0017444266030527298i
4250,11000,-6.823712542562869E-6-0.002089538875689166i
4260,11000,-8.132314727281144E-6-0.002509011402718046i
4270,11000,-1.0074747522799605E-5-0.003043588963254387i
4280,11000,-1.3102389830921432E-5-0.003756320128715103i
4290,11000,-1.822631422449713E-5-0.004764811688389809i
4300,11000,-2.8035138068045202E-5-0.006318247534475981i
4310,11000,-5.094692972008689E-5-0.009053686455460555i
4320,11000,-1.2916444864892788E-4-0.015232565280024642i
4330,11000,-9.346262491858124E-4-0.04302050162160913i
4340,11000,-0.0015489387643368173+0.0577677406011564i
4350,11000,-1.359372836425534E-4+0.01773215740424711i
4360,11000,-4.587896220914298E-5+0.010589693141942299i
4370,11000,-2.2665012950347843E-5+0.007589601512464683i
4380,11000,-1.352532988329842E-5+0.005927802540953489i
4390,11000,-9.06920372962223E-6+0.004865046421181543i
4400,11000,-6.5957969394700165E-6+0.004121788902917197i
4410,11000,-5.0985750551228685E-6+0.0035689123410806074i
4420,11000,-4.134835940756277E-6+0.0031385232138930537i
4430,11000,-3.485905294482987E-6+0.00279149446177914i
4440,11000,-3.0340493968042134E-6+0.002503675778021543i
4450,11000,-2.7115165367767593E-6+0.0022593409761967357i
4460,11000,-2.477196924449274E-6+0.0020477973830002358i
4470,11000,-2.305049339551982E-6+0.0018615092771375413i
4480,11000,-2.1779823932778663E-6+0.0016950008905720784i
4490,11000,-2.0844438956697748E-6+0.0015441852160171222i
4500,11000,-2.016433638605154E-6+0.0014059370489236341i
4510,11000,-1.9683013902727484E-6+0.0012778119613574312i
4520,11000,-1.9359965286955774E-6+0.0011578554913574718i
4530,11000,-1.9165872730277364E-6+0.001044469659309586i
4540,11000,-1.9079465007936738E-6+9.363166454393135E-4i
4550,11000,-1.9085441632009508E-6+8.322467677020212E-4i
4560,11000,-1.9173107788290743E-6+7.312421588350679E-4i
4570,11000,-1.9335511449758423E-6+6.323699837652564E-4i
4580,11000,-1.9568969858114705E-6+5.347402869932546E-4i
4590,11000,-1.987294602673913E-6+4.374638718429002E-4i
4600,11000,-2.0250309905853913E-6+3.396049579480844E-4i
4610,11000,-2.0708120737149926E-6+2.401213589641158E-4i
4620,11000,-2.1259246397673724E-6+1.3778057783886413E-4i
4630,11000,-2.1925501176377E-6+3.103123187642214E-5i
4640,11000,-2.274380914137612E-6-8.220985630586751E-5i
4650,11000,-2.377894018554741E-6-2.0493749713471846E-4i
4660,11000,-2.5151937310821096E-6-3.41792258275868E-4i
4670,11000,-2.7110539602943245E-6-5.006201658077927E-4i
4680,11000,-3.0230024347924034E-6-6.962123957146183E-4i
4690,11000,-3.611227615461246E-6-9.608967979743039E-4i
4700,11000,-5.069989164212556E-6-0.0013831526260043633i
4710,11000,-1.1224792934202427E-5-0.0023293142593099024i
4720,11000,-2.1233024719923758E-4-0.00968377796207377i
4730,11000,-3.244924423320065E-5+0.00268659916535093i
4740,11000,-8.903227852927123E-6+6.655301979831685E-4i
4750,11000,-5.870226499164771E-6+2.8704658696148707E-5i
4760,11000,-5.053150481168394E-6-3.444664289368538E-4i
4770,11000,-4.8513299449490215E-6-6.300059266630178E-4i
