% Model,hl2.mph
% Version,COMSOL 6.1.0.357
% Date,"Nov 13 2023, 17:34"
% Table,d1_m - 
% m,d1 (m),freq (Hz),"Total acoustic pressure (Pa), Pressure","Total acoustic velocity, z-component (m^3/s), Velocity"
0,0.01,10,500.00000000000006,-3.67302270738746E-5-2.1534560851607933E-4i
0,0.01,20,500.00000000000006,-5.699488453173161E-5-4.541946993290534E-4i
0,0.01,30,500.00000000000006,-9.250224572702573E-5-7.870255303441089E-4i
0,0.01,40,500.00000000000006,-1.8075157961827025E-4-0.0013685657019021735i
0,0.01,50,500.00000000000006,-5.615029324429556E-4-0.002838766376296216i
0,0.01,60,500.00000000000006,-0.012373447054049068-0.009657417952062267i
0,0.01,70,500.00000000000006,-8.210249390233822E-4+0.00450813913683212i
0,0.01,80,500.00000000000006,-1.6101794430355495E-4+0.002263084697069263i
0,0.01,90,500.00000000000006,-6.121721882679576E-5+0.0015475671272517871i
0,0.01,100,500.00000000000006,-3.013026129584628E-5+0.0011939701239261564i
0,0.01,110,500.00000000000006,-1.701118426513654E-5+9.811865624705333E-4i
0,0.01,120,500.00000000000006,-1.045022354733702E-5+8.379393906223992E-4i
0,0.01,130,500.00000000000006,-6.791401907170562E-6+7.342689609263828E-4i
0,0.01,140,500.00000000000006,-4.590144332485717E-6+6.553630931665906E-4i
0,0.01,150,500.00000000000006,-3.189754945609438E-6+5.930418466330856E-4i
0,0.01,160,500.00000000000006,-2.2599963324257037E-6+5.424085962860858E-4i
0,0.01,170,500.00000000000006,-1.6216217893753495E-6+5.003462089674955E-4i
0,0.01,180,500.00000000000006,-1.1713360901901589E-6+4.6477171624944235E-4i
0,0.01,190,500.00000000000006,-8.466701314733884E-7+4.3423748954140174E-4i
0,0.01,200,500.00000000000006,-6.083136403582139E-7+4.077043128783341E-4i
0,0.01,210,500.00000000000006,-4.3069220688829527E-7+3.8440559052623624E-4i
0,0.01,220,500.00000000000006,-2.9669009356811306E-7+3.637625918364867E-4i
0,0.01,230,500.00000000000006,-1.9457024756602312E-7+3.4532962359606114E-4i
0,0.01,240,500.00000000000006,-1.1611191647273454E-7+3.287574534680341E-4i
0,0.01,250,500.00000000000006,-5.544940788255378E-8+3.137682471155178E-4i
0,0.01,260,500.00000000000006,-8.328299121224394E-9+3.0013798652084225E-4i
0,0.01,270,500.00000000000006,2.838241686314421E-8+2.876838774262423E-4i
0,0.01,280,500.00000000000006,5.7017147339883244E-8+2.7625516164269873E-4i
0,0.01,290,500.00000000000006,7.933681604906319E-8+2.6572630144730325E-4i
0,0.01,300,500.00000000000006,9.668380134249442E-8+2.5599184746738046E-4i
0,0.01,310,500.00000000000006,1.1009120190959093E-7+2.4696252152220865E-4i
0,0.01,320,500.00000000000006,1.2036098189711444E-7+2.3856218972380567E-4i
0,0.01,330,500.00000000000006,1.2812057966795268E-7+2.307254970232289E-4i
0,0.01,340,500.00000000000006,1.338643999370314E-7+2.2339599947774407E-4i
0,0.01,350,500.00000000000006,1.3798455627095698E-7+2.1652467543553633E-4i
0,0.01,360,500.00000000000006,1.407938770671746E-7+2.100687283120408E-4i
0,0.01,370,500.00000000000006,1.4254328141905896E-7+2.039906160004994E-4i
0,0.01,380,500.00000000000006,1.434350153959905E-7+1.9825725806212885E-4i
