% Model,hl2.mph
% Version,COMSOL 6.1.0.357
"% Date,""Nov 26 2023, 18:37"""
% Table,Table 2 - 
"% freq (Hz),""Total acoustic pressure (Pa), Pressure 1"",""Total acoustic velocity, z-component (m^3/s), Velocity 1"""
10,5000,-6.178833084331165E-13-0.0016215045739277388i
20,5000,-1.1528231580213507E-11-0.003500732534755837i
30,5000,-7.766062066034157E-11-0.0060536967158317115i
40,5000,-3.982939003851096E-10-0.010273125075280037i
50,5000,-2.316801729956242E-9-0.019798444187383944i
60,5000,-4.26540921555997E-8-0.07068810169672145i
70,5000,-4.4027128294777507E-8+0.061445315738543324i
80,5000,-8.262636274843344E-9+0.02323986263721203i
90,5000,-4.285990087625573E-9+0.014838372273199755i
100,5000,-2.976647171353003E-9+0.011093600830570871i
110,5000,-2.3601220871916274E-9+0.008945624795587876i
120,5000,-2.0122387304375872E-9+0.007536755931707503i
130,5000,-1.7936363265994607E-9+0.006531665808955078i
140,5000,-1.6465228132887367E-9+0.005771777864062958i
150,5000,-1.543174408991108E-9+0.00517202157112635i
160,5000,-1.4690148949096176E-9+0.00468237386775241i
170,5000,-1.4160548486332488E-9+0.0042712117894073785i
180,5000,-1.3800977071898521E-9+0.003917247272446947i
190,5000,-1.3595859283748435E-9+0.0036052297629149666i
200,5000,-1.3553819130325045E-9+0.003323416670468255i
210,5000,-1.3714071634926813E-9+0.0030618584855167585i
220,5000,-1.4166326715516448E-9+0.002810924414521621i
230,5000,-1.5100656629977816E-9+0.00255951227517836i
240,5000,-1.6938384622403043E-9+0.002291958569416178i
250,5000,-2.072479452395585E-9+0.0019810092313391576i
260,5000,-2.9586319499757077E-9+0.0015674789480107606i
270,5000,-5.637420994556005E-9+8.806760405112408E-4i
280,5000,-2.0413850481243147E-8-8.98890435027491E-4i
290,5000,-1.3528592934514865E-5-0.08353846969564135i
300,5000,-2.91126919072617E-8+0.00605640197425352i
310,5000,-8.503109382938338E-9+0.004076617060634613i
320,5000,-4.662987381962304E-9+0.003385613545684972i
330,5000,-3.2748681639055047E-9+0.003010411427469624i
340,5000,-2.6072046207542652E-9+0.0027625223767993225i
350,5000,-2.2295310051589706E-9+0.002579713988957051i
360,5000,-1.992234753947322E-9+0.0024353276958786127i
370,5000,-1.8317473962542011E-9+0.0023159562142226874i
380,5000,-1.7171358593877057E-9+0.0022140671944547185i
390,5000,-1.6317922567720657E-9+0.002125068000898241i
400,5000,-1.5661071325695521E-9+0.002045975328313594i
410,5000,-1.5141827740150418E-9+0.001974750659412661i
