% Model,hl2.mph
% Version,COMSOL 6.1.0.357
% Date,"Nov 24 2023, 13:15"
% Table,Accumulated Probe Table 5 - 
% d1 (m),m,freq (Hz),"Total acoustic pressure (Pa), Pressure","Total acoustic velocity, z-component (m^3/s), Velocity","Total acoustic pressure (Pa), Pressure 1","Total acoustic velocity, z-component (m^3/s), Velocity 1","10*log10(acpr.p_t/acpr.v_tz), Impedance Probe 5"
0.03,0,1280,0,0,13000.000000000002,-7.642839640860164E-9+0.0024091705057887798i,24.67562810457305-6.8218955479435985i
0.03,0,1290,0,0,13000.000000000002,-7.714933279568416E-9+0.0023678874315736i,24.75070259902178-6.821895920451131i
0.03,0,1300,0,0,13000.000000000002,-7.794515834628678E-9+0.0023264809966332916i,24.82732812568722-6.8218963209333054i
0.03,0,1310,0,0,13000.000000000002,-7.882424420545013E-9+0.0022848940943278654i,24.905673065492568-6.821896752941952i
0.03,0,1320,0,0,13000.000000000002,-7.979618338569702E-9+0.002243065104471891i,24.98592617231987-6.8218972206172905i
0.03,0,1330,0,0,13000.000000000002,-8.087200521313592E-9+0.0022009271815616274i,25.068299974316258-6.821897728808954i
0.03,0,1340,0,0,13000.000000000002,-8.206443477791564E-9+0.002158407423496561i,25.153034876805382-6.821898283227148i
0.03,0,1350,0,0,13000.000000000002,-8.338820844857199E-9+0.002115425895567423i,25.240404143349707-6.8218988906328475i
0.03,0,1360,0,0,13000.000000000002,-8.48604596274098E-9+0.002071894478297691i,25.330719984485608-6.82189955907902i
0.03,0,1370,0,0,13000.000000000002,-8.650119312974768E-9+0.0020277154997658466i,25.42434105535297-6.82190029821934i
0.03,0,1380,0,0,13000.000000000002,-8.833387207113133E-9+0.001982780102734716i,25.52168176153559-6.8219011197067685i
0.03,0,1390,0,0,13000.000000000002,-9.038614867859082E-9+0.001936966283461121i,25.623223908302137-6.8219020377135315i
0.03,0,1400,0,0,13000.000000000002,-9.269078059952364E-9+0.0018901365213695946i,25.7295314190532-6.821903069616907i
0.03,0,1410,0,0,13000.000000000002,-9.528678825800449E-9+0.0018421348952819643i,25.841269120081435-6.82190423691451i
0.03,0,1420,0,0,13000.000000000002,-9.822092819251922E-9+0.0017927835504470701i,25.959226980814407-6.821905566461978i
0.03,0,1430,0,0,13000.000000000002,-1.0154958447614269E-8+0.001741878338045542i,26.084351775113223-6.821907092170954i
0.03,0,1440,0,0,13000.000000000002,-1.0534121888632938E-8+0.001689183390676166i,26.21778899242528-6.821908857375876i
0.03,0,1450,0,0,13000.000000000002,-1.0967957589054684E-8+0.0016344243168667579i,26.36093914758069-6.821910918192065i
0.03,0,1460,0,0,13000.000000000002,-1.1466791922670877E-8+0.0015772795850413075i,26.51553470337687-6.821913348375854i
0.03,0,1470,0,0,13000.000000000002,-1.2043469615156359E-8+0.001517369507639135i,26.68374713646968-6.821916246518067i
0.03,0,1480,0,0,13000.000000000002,-1.2714120462060709E-8+0.0014542420062707687i,26.86833916005919-6.821919746966228i
0.03,0,1490,0,0,13000.000000000002,-1.3499211245243011E-8+0.0013873540029756882i,27.072886488995287-6.8219240369017955i
0.03,0,1500,0,0,13000.000000000002,-1.4425010390873104E-8+0.0013160467835755317i,27.30211017920321-6.821929383966872i
0.03,0,1510,0,0,13000.000000000002,-1.5525660689150867E-8+0.0012395129235661588i,27.5623914907479-6.821936182788671i
0.03,0,1520,0,0,13000.000000000002,-1.6846165614210034E-8+0.0011567511996402246i,27.862601760542155-6.821945037186663i
0.03,0,1530,0,0,13000.000000000002,-1.8446778575511383E-8+0.0010665040653216424i,28.215506066472127-6.821956914206432i
0.03,0,1540,0,0,13000.000000000002,-2.0409599588036437E-8+9.671692806624901E-4i,28.64028429235001-6.821973454705911i
0.03,0,1550,0,0,13000.000000000002,-2.2848741385842068E-8+8.566723069705891E-4i,29.167421875858917-6.821997661783314i
0.03,0,1560,0,0,13000.000000000002,-2.5926448704532694E-8+7.322775173281488E-4i,29.84922781283285-6.822035634161062i
0.03,0,1570,0,0,13000.000000000002,-2.9879503016978065E-8+5.903010216599499E-4i,30.786015784250708-6.822101805495138i
0.03,0,1580,0,0,13000.000000000002,-3.506413569111264E-8+4.25659595860695E-4i,32.20795028541138-6.822240111908965i
0.03,0,1590,0,0,13000.000000000002,-4.203586509567675E-8+2.3113511212523394E-4i,34.86787340472438-6.822675502957461i
0.03,0,1600,0,0,13000.000000000002,-5.1699036178200926E-8-3.87947000450306E-6i,49.14718538867926-0.4310166584914639i
0.03,0,1610,0,0,13000.000000000002,-6.560518786513206E-8-2.956356031403385E-4i,33.787938631571976+6.822846962623358i
0.03,0,1620,0,0,13000.000000000002,-8.659666037794776E-8-6.703625477517276E-4i,30.230288377980738+6.8224428491316695i
0.03,0,1630,0,0,13000.000000000002,-1.203393728502335E-7-0.0011733171102383173i,27.799198908228725+6.822327176475073i
0.03,0,1640,0,0,13000.000000000002,-1.7948152854897934E-7-0.0018898654169749397i,25.7291622128568+6.822294195172945i
0.03,0,1650,0,0,13000.000000000002,-2.9717627438407454E-7-0.003002572985141454i,23.71865180274901+6.822311584494191i
0.03,0,1660,0,0,13000.000000000002,-5.848577585383508E-7-0.004984611997222147i,21.517372278921425+6.822391319328558i
0.03,0,1670,0,0,13000.000000000002,-1.6309931437790219E-6-0.009560242476483736i,18.689078259310687+6.822622666668235i
0.03,0,1680,0,0,13000.000000000002,-1.4398291141880515E-5-0.03190296455734463i,13.455524719759751+6.823841792132178i
0.03,0,1690,0,0,13000.000000000002,-1.6239262732974352E-5+0.037395588787234264i,12.765689346504352-6.823767731294452i
0.03,0,1700,0,0,13000.000000000002,-1.7797229289823753E-6+0.013473399793504696i,17.199171557192884-6.822455446224068i
0.03,0,1710,0,0,13000.000000000002,-6.518311489909384E-7+0.008772055594323836i,19.06297372121779-6.822204492773068i
0.03,0,1720,0,0,13000.000000000002,-3.4065529278646104E-7+0.006756102842040909i,20.1970640738284-6.822100757092143i
0.03,0,1730,0,0,13000.000000000002,-2.119226655380155E-7+0.005630252291486542i,20.988783316302868-6.822045245446967i
0.03,0,1740,0,0,13000.000000000002,-1.4632942523796675E-7+0.0049079264260767745i,21.58511364837505-6.822011261014486i
0.03,0,1750,0,0,13000.000000000002,-1.0833464134737587E-7+0.004402568959449564i,22.05706212986152-6.821988643481363i
0.03,0,1760,0,0,13000.000000000002,-8.432083706127289E-8+0.004027288264358227i,22.444024321601542-6.8219727055121675i
0.03,0,1770,0,0,13000.000000000002,-6.815258416863793E-8+0.003736142567433192i,22.76994310376907-6.821960996887373i
0.03,0,1780,0,0,13000.000000000002,-5.673154991671591E-8+0.003502558279199122i,23.05034844771158-6.8219521185637175i
0.03,0,1790,0,0,13000.000000000002,-4.8354294415055606E-8+0.0033100957774599474i,23.29582006165601-6.8219452172199775i
0.03,0,1800,0,0,13000.000000000002,-4.202042996311786E-8+0.003148038415964024i,23.51384801057593-6.821939744986288i
0.03,0,1810,0,0,13000.000000000002,-3.7110638803429965E-8+0.00300910097943289i,23.709902439920782-6.8219353353422205i
0.03,0,1820,0,0,13000.000000000002,-3.3224600483146236E-8+0.0028881575681979975i,23.88808241779025-6.821931734678843i
0.03,0,1830,0,0,13000.000000000002,-3.0094063909496454E-8+0.00278149633843711i,24.051527008017548-6.82192876250001i
0.03,0,1840,0,0,13000.000000000002,-2.7533708516419732E-8+0.002686362966182566i,24.202685298979045-6.821926287238076i
0.03,0,1850,0,0,13000.000000000002,-2.5412110543075096E-8+0.0026006702508500593i,24.343499289577064-6.821924211003423i
0.03,0,1860,0,0,13000.000000000002,-2.3633927660852533E-8+0.0025228073536554736i,24.475531045461725-6.821922459658001i
0.03,0,1870,0,0,13000.000000000002,-2.212860426479396E-8+0.0024515109449170873i,24.600053143189445-6.821920976175042i
0.03,0,1880,0,0,13000.000000000002,-2.0843003366599957E-8+0.002385776021791475i,24.718114299525542-6.821919716089224i
0.03,0,1890,0,0,13000.000000000002,-1.9736477599686243E-8+0.002324792841790334i,24.830587844477964-6.821918644312821i
0.03,0,1900,0,0,13000.000000000002,-1.87774973933733E-8+0.0022679014640156416i,24.938208093578673-6.821917732865582i
0.03,0,1910,0,0,13000.000000000002,-1.794129784846702E-8+0.0022145584168521393i,25.041598031874152-6.821916959228855i
0.03,0,1920,0,0,13000.000000000002,-1.7208206760017197E-8+0.0021643118778017514i,25.141290659449645-6.82191630513426i
0.03,0,1930,0,0,13000.000000000002,-1.6562437186485328E-8+0.0021167829319338346i,25.237745645847653-6.821915755660141i
0.03,0,1940,0,0,13000.000000000002,-1.599120252138619E-8+0.002071651239241418i,25.331362467220988-6.821915298549352i
0.03,0,1950,0,0,13000.000000000002,-1.5484059157985803E-8+0.002028643945470165i,25.422490875147176-6.821914923688594i
0.03,0,1960,0,0,13000.000000000002,-1.5032412167040748E-8+0.0019875270101597374i,25.51143931943016-6.821914622707134i
0.03,0,1970,0,0,13000.000000000002,-1.4629139343823572E-8+0.0019480983576362612i,25.59848178689176-6.821914388664973i
0.03,0,1980,0,0,13000.000000000002,-1.4268302308442046E-8+0.0019101824178913971i,25.68386340314126-6.8219142158086745i
0.03,0,1990,0,0,13000.000000000002,-1.3944922368228256E-8+0.001873625737882542i,25.767805060814954-6.821914099379103i
0.03,0,2000,0,0,13000.000000000002,-1.3654805105185643E-8+0.0018382934249202138i,25.8505072764502-6.821914035459305i
0.03,0,2010,0,0,13000.000000000002,-1.3394401991066765E-8+0.0018040662424435073i,25.932153432698296-6.8219140208539155i
0.03,0,2020,0,0,13000.000000000002,-1.316070040131739E-8+0.0017708382213857939i,26.01291252847208-6.821914052993416i
0.03,0,2030,0,0,13000.000000000002,-1.2951135634494776E-8+0.001738514681988917i,26.092941533978596-6.821914129858474i
0.03,0,2040,0,0,13000.000000000002,-1.2763520112564397E-8+0.0017070105845832851i,26.17238742800343-6.821914249920517i
0.03,0,2050,0,0,13000.000000000002,-1.2595986108907114E-8+0.0016762491456473697i,26.251388979888933-6.821914412095732i
0.03,0,2060,0,0,13000.000000000002,-1.2446939234464992E-8+0.0016461606689716984i,26.330078327209186-6.821914615710388i
0.03,0,2070,0,0,13000.000000000002,-1.2315020524916339E-8+0.00161668155210812i,26.40858239132258-6.821914860475878i
0.03,0,2080,0,0,13000.000000000002,-1.2199075483373681E-8+0.0015877534362523716i,26.487024166267034-6.821915146472255i
0.03,0,2090,0,0,13000.000000000002,-1.2098128785209652E-8+0.001559322473905381i,26.565523911322842-6.821915474139578i
0.03,0,2100,0,0,13000.000000000002,-1.201136364222174E-8+0.001531338693480163i,26.64420027377295-6.821915844276438i
0.03,0,2110,0,0,13000.000000000002,-1.1938105035280282E-8+0.0015037554438203584i,26.72317136561079-6.821916258045472i
0.03,0,2120,0,0,13000.000000000002,-1.187780620606228E-8+0.0014765289045725813i,26.80255581611777-6.821916716985927i
0.03,0,2130,0,0,13000.000000000002,-1.1830037920648477E-8+0.001449617650715528i,26.882473821162776-6.821917223033368i
0.03,0,2140,0,0,13000.000000000002,-1.179448013746791E-8+0.0014229822614094478i,26.963048209754216-6.821917778547151i
0.03,0,2150,0,0,13000.000000000002,-1.177091579497801E-8+0.0013965849647975277i,27.044405548756096-6.821918386346347i
0.03,0,2160,0,0,13000.000000000002,-1.17592265099564E-8+0.00137038931154564i,27.12667730777235-6.821919049755145i
0.03,0,2170,0,0,13000.000000000002,-1.1759390040053437E-8+0.0013443598707964905i,27.21000110808812-6.821919772659172i
0.03,0,2180,0,0,13000.000000000002,-1.1771479419834523E-8+0.0013184619428964618i,27.29452208228688-6.821920559574489i
0.03,0,2190,0,0,13000.000000000002,-1.1795663730273759E-8+0.0012926612837453702i,27.380394374927675-6.821921415731608i
0.03,0,2200,0,0,13000.000000000002,-1.183221051012711E-8+0.0012669238359562822i,27.467782819636476-6.821922347177462i
